text,category
"bank statement of account bank statement of account dear friend , i have a proposal for you , this however is not mandatory nor will i in any manner compel you to honour against your will . i am mr maxwell ibeanusi , an auditor with a bank one of the african leading banks in the west coast . here in this bank existed a dormant account for the past 8 years which belong to a american national who is now late mr morris thompson who died on alaska airlines flight 261 . http archives . cnn . com 2000 us 02 01 alaska . airlines . list more details about the deceased himself , you can check on when i discovered that there had been no deposits nor withdrawals from this account for this long period , i decided to carry out a system investigation and discovered that non of the family member nor relations of the late person is aware of this account . this is the story in a nutshell . now i want an account overseas where the bank will transfer this funds . thereafter , i had planned to destroy all",Spam
"summer internship at enron summer internship at enron jana vince kaminski is interested in taking kyriakos frantzeskakis into his group as a summer associate . once you have finalized your staffing , please confirm with vince kaminski the placement status . thanks , celeste - - - - - - - - - - - - - - - - - - - - - - forwarded by celeste roberts hou ect on 03 12 2001 11 14 am - - - - - - - - - - - - - - - - - - - - - - - - - - - vince j kaminski 03 12 2001 11 08 am to celeste roberts hou ect ect cc vince j kaminski hou ect ect , kevin kindall corp enron enron , shirley crenshaw hou ect ect , kristin gandy na enron enron subject summer internship at enron celeste , we shall be happy to take him as an intern summer asociate . vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 03 12 2001 11 07 am - - - - - - - - - - - - - - - - - - - - - - - - - - - kevin kindall enron 03 12 2001 09 27 am to vince j kaminski hou ect ect cc vasant shanbhogue hou ect ",Internship
"re march real options conference re march real options conference vince . thanks for getting back to me . i will have my secretary try to set up something among the three of us . gary , as vince cannot make a call on wednesday , i will have my assistant call you to try to find a suitable time . rachel , gary jackson ' s phone number is 423 751 2593 and vince kaminski ' s secretary ' s number is given below . at 03 34 pm 2 21 00 - 0600 , you wrote peter , i am in london till wednesday afternoon . i shall be back at the office on thursday . please , feel free to call my secretary , shirley crenshaw 713 853 5290 , to schedule a conference call . i cannot access my calendar from london and don ' t know my commitments for this day . vince peter tufano on 02 18 2000 03 56 33 pm to vince j kaminski hou ect ect , gljackson 2 tva . gov cc subject re march real options conference dear vince and gary , we are all speaking at the march real options session in ny . my work in real options in the en",Meeting
Dear winner you have been selected in our lottery send bank details.,Spam
"enron year end 2000 performance management process enron year end 2000 performance management process reminder , enron ' s year - end 2000 performance management process has begun ! during the feedback phase you will need to access pep at http pep . corp . enron . com to suggest reviewers who can provide feedback on your performance . you may also be requested to provide feedback on fellow employees , but the system will only be open for feedback until november 17 th ! helpdesk representatives will be available to answer questions throughout the process . you may contact the helpdesk at houston 1 - 713 - 853 - 4777 , option 4 london 44 - 207 - 783 - 4040 , option 4 e - mail perfmgmt enron . com your user id password for pep at http pep . corp . enron . com are user id 90011947 password welcome",Other
"enron in action 11 . 27 . 00 enron in action 11 . 27 . 00 big e cafe don ' t be a grinch ! come enjoy the big e cafe this friday , december lst , in antioch park ! live entertainment will be provided by the gary dahl band and lunch is available for 5 . for any toy , clothing or canned good donation , you will receive a 1 discount off of lunch . also , you will have the opportunity to spread wholiday cheer by signing up for volunteer projects at various organizations around the city including big brothers and big sisters , search and the star of hope . print sale think presents ! on monday , december 4 th , take advantage of the rice university art department ' s annual print sale ! available items will include etchings , and lithographs by rice university students and faculty as well as prints from tembo studios , flatbed press - austin , and the university of houston printmaking students . artists services will be present to assist with your framing needs . all proceeds benefit the ri",Internship
"peniss growth patches are here ! . . . quintessential peniss growth patches are here ! . . . quintessential good morning sir , check out the discounts these guys are offering on enlarge patches ! steel package 10 patches reg 79 . 95 now 49 . 95 ! free shipping too ! silver package 25 patches reg 129 . 95 , now 99 . 95 ! free shipping and free exercise manual included ! gold package 40 patches reg 189 . 95 , now 149 . 95 ! free shipping and free exercise manual included ! platinum package 65 patches reg 259 . 95 , now 199 . 95 ! free shipping and free exercise manual included ! millions of men are taking advantage of this revolutionary new product - don ' t be left behind ! my wife has become so much more interested in sex and now often initiates . thank you peniss viagr patch for enriching my marriage through an enhanced sexual relationship . - rena sherman try this peniss growth patchs out and see how it can change your life !",Spam
"rdi conference - may 17 - 19 , 2000 rdi conference - may 17 - 19 , 2000 hi , i ' d like to make a personal invitation to you to attend rdi ' s annual user conference at torrey pines in la jolla , just north of san diego . we are planning two sessions for gpcm users and prospective users which i think you will find very interesting and useful . plus we are also going to schedule individual sessions for those that would like them , as was quite successful last year . the details are included in the attached word file below . i ' ve also included the program in pdf format . the last page is a signup form you can fill out and fax in to rdi if you haven ' t already done so . please let me and mike know how many are coming from your team . you can reply to this e - mail to let us know . looking forward to seeing you there . i think it ' s going to be fun . bob brooks mike farina - rdi _ conference _ gpcm _ breakout . doc - rdi user conf . pdf",Other
"re march real options conference re march real options conference gary , peter , this is a copy of my london presentation . i expect to make some minor changes to this presentation for march 13 . vince vince kaminski jackson , gary l . on 02 27 2000 03 07 13 pm to vince j kaminski hou ect ect , ' peter tufano ' cc demars , suzanne subject re march real options conference this is a draft of what i was thinking of presenting . i was not planning to go over any specific options or opas these are covered by confidentiality clauses and i have to be careful from a competitive standpoint but to give the audience a few of the real world applications and challenges . i welcome any thoughts or comments . gary - - - - - - - - - - from peter tufano smtp ptufano hbs . edu sent friday , february 18 , 2000 4 56 pm to vkamins ect . enron . com gljackson 2 tva . gov subject re march real options conference dear vince and gary , we are all speaking at the march real options session in ny . my work in re",Meeting
"b ck to scho 0 l speclals on adobe , windows from wertheimersoftware b ck to scho 0 l speclals on adobe , windows from wertheimersoftware browse search order my esoft community back to software overview home all categories computers software operating systems windows all items auctions buy it now windows refine search top ten sellersl - windows xp pro 2 - office xp pro 3 - adobe acrobat 6 . 0 professional 4 - adobe photoshop cs 8 . 0 5 - systemworks 2004 pro 6 - macromedia dreamweaver mx 2004 7 - macromedia flash mx 2004 pro 8 - ms 2003 server enterprise edition 9 - windows xp longhorn edition 10 - coreldraw graphics suite 12 . 0 item titleprice microsoft windows xp professional - current edition - only 49 . 95 save 80 ! hot summer package dealsprice windows xp pro office xp pro adobe photoshop cs 8 . 0 only 150 . 95 save 90 ! windows xp pro symantec systemworks 2004 professional only 69 . 95 save 90 ! macromedia flash mx 2004 professional macromedia dreamweaver 2004 professional only ",Spam
"re pserc industrial advisory board meeting invitation re pserc industrial advisory board meeting invitation mr . kaminski , thank you for responding . i ' m sorry you won ' t be able to attend , but very much appreciate your willingness to reconsider your decision about participating in pserc . we will certainly keep you informed about on - going and new pserc activities that may be of interest to enron . best regards , dennis ray - - - - - original message - - - - - from vince . j . kaminski enron . com mailto vince . j . kaminski enron . com sent monday , april 16 , 2001 2 02 pm to djray engr . wisc . edu cc vince . j . kaminski enron . com subject re pserc industrial advisory board meeting invitation dear mr . ray , i regret to inform you that due to very heavy workload we cannot attend the power systems engineering research center ' s upcoming industrial advisory board meeting in oak brook . our work load does not leave us much time to get involved with pserc at this moment . we wo",Job
"re video conference with ross mcintyre re video conference with ross mcintyre nick , we may have problems getting the vc location in houston on short notice . we are currently on stand - by . we shall default , if we have no other choice , to a phone interview . vince enron capital trade resources corp . - europe from nick mooney 04 18 2000 09 09 am to vince j kaminski hou ect ect cc mark tawney hou ect ect subject video conference with ross mcintyre vince , you should have received an invitation through lotus notes which outlines the vc location for the conference call tomorrow . it is schedule for 4 30 pm uk time 10 30 am houston time ross ' s background is from investment banking ex dresner bank , he has a phd in mathematical and is currently with speedwell weather derivatives where he has been developing weather derivative pricing and portfolio optimisation tools which they have been marketing to end - users with weather risks . the attached word documents are articles that he has ",Meeting
Daily scrum has been moved to 8 30 AM starting next Monday.,Meeting
"perfect logo charset koi 8 - r perfect logo charset koi 8 - r thinking of breathing new life into your business ? start from revamping its front - end - logo and visuai identity . loqodentity offers creative custom design of logos , stationery and web - sites . under our carefui hand these powerful marketinq tools wiil bring a breath of fresh air into your business and make you stand out among the competitors . you are just a click away from your future success . ciick here to see the sampies of our artwork , check our prices and hot offers",Spam
"offer status update offer status update please see attached for color - coded offer update . i made a few changes from the file kari sent last night . will print out for binder as well . colors mean the following red - no offer , reserve yellow - declined blue - signed green - open white - verbal acceptance",Other
"summer internship at enron summer internship at enron jana vince kaminski is interested in taking kyriakos frantzeskakis into his group as a summer associate . once you have finalized your staffing , please confirm with vince kaminski the placement status . thanks , celeste - - - - - - - - - - - - - - - - - - - - - - forwarded by celeste roberts hou ect on 03 12 2001 11 14 am - - - - - - - - - - - - - - - - - - - - - - - - - - - vince j kaminski 03 12 2001 11 08 am to celeste roberts hou ect ect cc vince j kaminski hou ect ect , kevin kindall corp enron enron , shirley crenshaw hou ect ect , kristin gandy na enron enron subject summer internship at enron celeste , we shall be happy to take him as an intern summer asociate . vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 03 12 2001 11 07 am - - - - - - - - - - - - - - - - - - - - - - - - - - - kevin kindall enron 03 12 2001 09 27 am to vince j kaminski hou ect ect cc vasant shanbhogue hou ect ",Internship
"v foorever v foorever hello , welcome to pha russian rmonline sho inwove p - one of the leading oniine pharmace clonus utical shops affective v eventual g a intercommunication l exterminate ll l severely a r altruist ac anticlimax l booster is victor va u aggregate m andmanyother . - save o gryphon ver 50 - worldwide gripsack shlpplng - total confidentiaii hayrick ty - over 5 miiiion customers in 130 count puerile ries spontaneity have a nice day !",Spam
"fortune ' s power 50 fortune ' s power 50 dear ms . kitchen , you are a strong contender to be on fortune ? s list of the 50 most powerful women in business this year . please take a moment to make our powerful women issue as engaging and fun for our magazine readers and website users as it has been for us . by answering the following questions , you can help us to get a better sense of you and your busy life . please e - mail the information back to alynda _ wheat fortunemail . com by the end of the day on september 14 . we realize this doesn ? t give you much time , but this will go a long way to making our coverage more accurate and enjoyable . sincerely , vera titunik senior editor fortune date of birth where did you go to college ? graduate school ? please provide the names of your educational institutions , indicating graduate or undergraduate level . what was your undergraduate major ? how long have you been at your company ? how many times have you changed jobs or been promoted",Internship
"re book order re book order thanks vince ! ? will champagne do ? ? if not , name your price . ? do you have an email address for steve leppard ? ? i tried steve . leppard enron . com ? which bounced back . ? thanks , julie ? ps - guess i ' ll finally meet you at the end of the month ? - - - - - original message - - - - - from vince . j . kaminski enron . com to julie cc vince . j . kaminski enron . com sent wednesday , january 31 , 2001 1 36 pm subject re book order julie , there are many employees in london ? who would be interested . you can send ? an inquiry to steve leppard . i had a presentation last night to garp in houston and did a commercial for the book . you should put me on commission . vince julie on 01 31 2001 06 31 39 am please respond to julie to ? ? cc subject ? re book order vince , i wasn ' t sure if i responded to your email , so apologise either for my delayed response or repeating myself . thanks for the 2 nd order ! i believe they have already been ? dispatched .",Other
"re summer internship position re summer internship position hi vince , paulo oleira one of the m . i . t attending our meeting on wed ' s research interest turned out to be a match for april hodgeson vp of content origination . i had him talk to april stinson was on the call as well to discuss his research interest and what he would likely to do for april . i suggested and april agrees that paulo would intern with her and matt and perform research on how end users consumers and business improved experience with epowered content can be quantified . this may include performing control experiments at m . i . t . we decided not to over specify what he would do since it is likely to change as soon as he arrives . i suggested once he starts , he will work with april and matt harris vp enterprise origination and they will define what the student needs to complete for the internship . addiontionally , tom gros agrees that this type of research are needed and this is a great way to start . i wi",Job
"re summer internship re summer internship dr . kaminski , thank you very much . of course , i ' ll be happy to have an opportunity to work at such a wonderful company . i was contacting with surech raghavan at deal bench team , and was going to express my appreciation to you again after settling down process with them . for the period of working , i still need to coordinate with my advisor and may need to adjust according to that . but anyway , i ' ll try to coordinate smoothly . please let me know whether i should keep contacting with deal bench team , for working period and for misc . living support such as finding a place , rent a car , etc . i appreciate you so much again , for arranging such meetings and giving me an opportunity . all this opportunity will not be available to me , without your kind help . warm regards , jinbaek jinbaek kim ph . d candidate dept . of industrial engineering and operations research u . c . berkeley http www . ieor . berkeley . edu jinbaek go bears ! ",Internship
"re visit to enron re visit to enron thanks . i will be flying back from tokyo on that day , so unfortunately i ' ll miss bambos . if my schedule changes , i ' ll let you know . all the best , tom vince j kaminski ect 05 01 00 09 05 am to thomas d gros hou ect ect , stinson gibner hou ect ect , ravi thuraisingham enron communications enron communications cc vince j kaminski hou ect ect subject re visit to enron fyi vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 05 01 2000 09 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - - nick bambos on 05 01 2000 04 26 30 am to vince . j . kaminski enron . com cc subject re visit to enron vince , how are you ? hope all is well . is there any chance we can schedule my visit to enron on friday , may 19 , or friday , may 26 ? by the end of april i was able to attract a top new student to work on the project . the other one for the coming year will be giuseppe . by spending the summer at enron , he wi",Other
"fw enron management conference - home video project fw enron management conference - home video project who is this guy . - - - - - original message - - - - - from james , terrie sent tuesday , september 25 , 2001 2 19 pm to lavorato , john cc clark , mary subject re enron management conference - home video project i heard about the videos at your offsite and i ' m hoping people will take your lead . vhs shot on someone ' s sony will be great ! innovision has also agreed to work with any team to simply provide editing services for them . as for the 10 , 000 figure . . . i was concerned that if outsourcing wasn ' t an option , we wouldn ' t get many entries . but the cheaper the better - - there will be recognition given to the best independently produced video . thanks for your input and i hope enron americas will have a submission . terrie - - - - - original message - - - - - from lavorato , john sent tuesday , september 25 , 2001 12 54 pm to james , terrie cc kitchen , louise subject",Meeting
Please confirm your participation in the 6 month internship program.,Internship
"oracle client upgrade oracle client upgrade in approximately one month 9 9 2000 , we are targeting that a new version of the oracle nt client 8 . 1 . 6 , borland database engine bde 5 . 1 . 1 and microsoft data access components mdac 2 . 5 . to all corp ena workstations . this software provides the connectivity from your workstation to enron ' s oracle databases and the applications supported by them . we are currently in the process of testing all the applications managed by corp ena information technology to ensure that they will be compliant with this new software . this change may also effect your own developed ms - access , ms - excel spreadsheets , and or ms - query documents that retrieve data from enron ' s oracle databases via odbc drivers . as part of the upgrade , all oracle odbc connections will be upgraded to compliant driver versions . if you would like to test your ms - access databases and or ms - excel spreadsheets under the new software releases , please use one of th",Job
"dt session 2 - july 10 - 13 , 2001 - salt lake city , utah dt session 2 - july 10 - 13 , 2001 - salt lake city , utah - - - - - - - - - - - - - - - - - - - - - - forwarded by greg wolfe hou ect on 04 16 2001 07 26 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from richard ingersoll on 04 12 2001 09 26 am cdt to tim belden hou ect ect , tim heizenrader pdx ect ect , greg wolfe hou ect ect cc subject dt session 2 - july 10 - 13 , 2001 - salt lake city , utah is anyone still interested in these announcements . - - - - - forwarded by richard ingersoll hou ect on 04 12 2001 08 23 am - - - - - danielle wscc . com sent by maiser wscc . com 04 11 2001 10 26 am to multiple committees cc subject dt session 2 - july 10 - 13 , 2001 - salt lake city , utah operations committee dispatcher training subcommittee dispatcher training contact persons interchange scheduling and accounting subcommittee attached is a reminder for the dispatcher training session 2 scheduled for july 10 - 13 , 2001",Other
"authorization authorization robert , please find below the authorization for the studay , as we had spoken about during our conference call earlier today . authorization i authorize henwood energy services , inc . , to provide for the hourly rates stated in the proposal dated 29 dec . 2000 , an analysis of the india electricity system and an evaluation of the dabhol plant despatch . the results of the study and information provided by enron shall be considered confidential and will be subject to a confidentiality agreement to be prepared by enron and submitted to henwood . sandeep kohli , vice president , enron .",Meeting
"re stanford project re stanford project nick , thanks for your message . my family is in houston for the christmas holidays and this means i am not coming any time soon to stanford . i shall probably visit the campus for the parents weekend . let ' s plan to meet for dinner then . i am very glad that you have recruited the 2 nd phd student for the research project . we are discussing internally what would be the best topic s for the project and we should be ready to talk to you in the nearest future about it . it makes a lot of sense for you to visit enron to finalize the selection of the research topics . we shall be glad to take both eric and giuseppe as summer interns . everybody was immensely impressed with giuseppe and we shall welcome him with open arms . i shall get in touch with you in the beginning of january to finalize the arrangements for your trip and our meeting at stanford . vince nick bambos on 12 20 2000 12 14 40 pm to vince . j . kaminski enron . com cc stinson . gibn",Internship
neon for march 7 neon for march 7 here is next week ' s neon lesson . let me know if we can help in any other way . thanks ! becky - experiencing god week 3 . doc,Other
"re enron management conference - home video project re enron management conference - home video project i ' ll in - - - - - original message - - - - - from kitchen , louise sent wednesday , september 26 , 2001 12 34 pm to allen , phillip k . arnold , john arora , harry baughman , edward d . belden , tim black , don breslau , craig calger , christopher f . collonges , remi davies , derek davis , mark dana dayao , anthony deffner , joseph devries , paul duran , w . david dutt , ranabir forster , david foster , chris h . gonzalez , orlando grigsby , mike herndon , rogers josey , scott keel , allan kishkill , joe kitagawa , kyle lagrasta , fred luce , laura martin , thomas a . mcdonald , michael mcmichael jr . , ed miller , don asset mktg milnthorp , rob mrha , jean neal , scott parquet , david presto , kevin m . redmond , brian shively , hunter s . sturm , fletcher j . swerzbin , mike thomas , jake thompson , c . john tricoli , carl tycholiz , barry vickers , frank w . whitt , mark wiggs ",Meeting
"henwood ' s ercot symposium - registration confirmation henwood ' s ercot symposium - registration confirmation dear vince , thank you for registering for henwood ' s ercot symposium on january 23 , 2001 . we are pleased to confirm your attendance . attached is a copy of the program agenda . as indicated , registration will begin at 9 30 am . the program begins at 10 00 am and runs until 3 00 pm . lunch along with refreshments will be provided . demonstrations of henwood ' s software applications and ebusiness solutions will be available following the workshop for interested parties . directions to the hyatt regency houston are attached for your convenience . please do not hesitate to contact me with any questions or concerns that you may have . we look forward to seeing you in houston ! heather mason marketing assistant henwood energy services , inc . 2710 gateway oaks dr . suite 300 n sacramento , ca 95833 phone 916 569 - 0985 fax 916 569 - 0999 - agenda version b . doc - hyatt direc",Meeting
"re project vitro review meeting re project vitro review meeting max i have attached a technical risk template that should serve as an outline for the presentation . you may also want to discuss some of the major commercial terms and conditions that are driving schedule , performance , and cost . you don ' t need to address each technical risk item in infinite detail , but we should focus on the key items of scope definition , construction execution , and contractor analysis that can impact value . the objective is to identify what we need to pay attention to as we begin to ramp up the capital expenditure . defining and managing construction risk has become a popular topic given the status of the dabhol and cuiba projects . we also need to take some time to discuss settle the outstanding ee cc invoice now eeos . i would like to agree a payment number and move on down the road with eeos . the system we have going forward should ensure that no eeos costs are incurred transferred to the ea",Meeting
Applications open for our Software Engineering internship program 2025.,Internship
"re fw feb - 01 invoice re fw feb - 01 invoice daren - did we have a purchase from beaumont methonal on 2 9 ? i show a deal of 5 . 000 on deal 611178 . i confirmed a total of 13 . 000 deal 603107 for that day . were we buying back 5 . 000 or was the deal reduced to 13000 ? aimee from tess ray enron enronxgate on 03 19 2001 08 51 am to aimee lannou hou ect ect cc buddy majorwitz hou ect ect subject re fw feb - 01 invoice ok thanks ! will be there shortly . also , joanie received a call from beaumont stating that there is a sale to hpl on 2 9 for 5 , 000 mmbtu . this was reflected on the supply draft and buddy majorrwitz looked into this before he we released invoice and said that there were no sales to hpl from beaumont . do you have any support or documentation re any all 02 01 prod . sales to hpl ? if so , can i also get a copy of that support to fax to customer ? - - - - - original message - - - - - from lannou , aimee sent monday , march 19 , 2001 8 45 am to ray , tess subject re fw ",Other
Your application for the Web Development internship has been shortlisted.,Internship
"epe reconciliation model follow - up epe reconciliation model follow - up good afternoon - i wanted to quickly follow - up to make sure everyone is aware of the new epe reconciliation model ' s location and status . i just skimmed through the first 8 days of this month , and we show no variances between the real time el paso model and our carp report . the reconciliation model can be found at m electric epe epeol julyol july epe reconciliation please let me know if you have any questions . thanks , kate symes real time trading support 503 - 464 - 3939",Other
"houston flood relief effort houston flood relief effort on saturday , june 9 , tropical storm allison left houston in chaos dumping more than 20 inches of rain and flooding the city in a matter of hours . as of sunday night , 17 people had died in the storm and many others are still missing . one of those who perished in the fatal flood was one of our employees , a summer intern in ets and student at texas a m university , chad garren . our condolences go out to his family and co - workers . at this time , enron community relations and aggies enron are planning to establish a scholarship fund in his memory . more information on the fund will be forthcoming . enron has made a corporate contribution of 500 , 000 to the american red cross to aid in the victim relief effort . enron employees are encouraged to donate to relief efforts and to take advantage of our matching gift program to double the impact of your individual donation . enron will match your contribution dollar for dollar and",Internship
"re stanford or - summer interns re stanford or - summer interns ravi , i shall leave the decision to stinson and you . vince ravi thuraisingham enron communications on 02 23 2000 11 39 01 am to stinson gibner hou ect ect , vince kaminski cc subject stanford or - summer interns hi this is one of the junior phd students that we ' ve visited in stanford . are we interested in bringing him to enron research and or ebs research . i ' ll have to think about his role in ebs . ravi . - - - - - forwarded by ravi thuraisingham enron communications on 02 23 00 11 32 am - - - - - shikhar stanford . edu 02 20 00 07 24 pm to ravi . thuraisingham . enron _ communications enron . com cc ravi . thuraisingham enron . com , bcc ravi thuraisingham enron communications subject stanford or - summer interns hi ravi please find attached my resume for the summer internship program . i apologize for the delay . we actually lost your contact info . please let me know if you will need any additional information a",Internship
"entex deal 318052 for jan 2001 entex deal 318052 for jan 2001 liz - - please make a note that i added meter 1168 midcon bammel to the entex deal 318052 for january lst 2 nd for flow that occured . i pathed a 1 to come across to pops , but the following will be allocated to the deal lst 2 , 953 2 nd 549 total 3 , 502 actual flow volume patsy with midcon kindermorgan is aware of this and agrees . let me know if you have any questions . thanks , mark x 33396",Other
"re resume , re resume , vince , if you are interested in this candidate i would suggest that you talk to him directly . he probably is not a fit for the global technology track . thanks , ashley vince j kaminski ect 10 24 2000 04 31 pm to ashley baxter corp enron enron cc vince j kaminski hou ect ect subject resume , ashley , another student who responded after my presentation . what do you think ? should we talk to him research directly ? vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 10 24 2000 04 37 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - jinbaek kim on 10 23 2000 07 25 36 pm to vkamins enron . com cc subject resume , dear mr . kaminski , hi , i am a ph . d student at ieor department at u . c . berkeley . thanks for your presentation today . it gave me knowledge and interest in electricity markets , and your company . as you mentioned in the presentation , i send a resume to give me opportunity to learn more about your com",Job
"your investor communiqup 9 your investor communiqup 9 get abzt first thing monday , this is going to explode ! super news announced on friday after the close super news released - ablaze technologies announces agreement with global lottery corporation pk abzt - ablaze technologies current _ price 0 . 07 get it now ! speculative target _ price in next 3 - 5 days 0 . 35 - 0 . 40 speculative target _ price in next 10 days 0 . 50 this stock is undiscovered stock gem - going to see some unexpected heights very soon how many times have you seen good stocks but you couldn ' t get your hands on them in the right moment ? we are alerting you to a special company with a unique product that is set to be profiled by many newsletters in the next 5 - 10 days - - this is your chance to get in ! company profile the company ablaze technologies abzt is a results oriented e - business holding company focused on utilizing the power of the internet to create and increase brand identity and sales of product",Spam
"enron announcement enron announcement car rental options for enron travelers rental car contracts for 2001 have been awarded to national car rental primary and alamo rent - a - car secondary . the intent of these agreements is to consolidate and leverage enron ' s total car rental spend to achieve the most favorable rates and non - pricing provisions i . e . insurance . national car rental , due to its service levels , availability and total value proposition , has been awarded primary status and is recommended as the first choice for enron travelers ' needs . alamo rent - a - car , a sister company to national , has been awarded a contract reflecting a secondary status , due to its service levels , availability and low cost solutions . alamo is recommended as an alternative to national , where available . when you rent a vehicle in the united states , including puerto rico or canada , the following insurance provisions are included , regardless of rate selected 1 . l dw loss damage wa",Other
